"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000198730",221.346643093268,-0.0844191992087819,0.259496538812738,-0.325319172251858,0.744939522006031,0.997528070348248
"ENSG00000198742",138.571088538372,0.167840925867376,0.288328743781844,0.582116523194679,0.560488196223568,0.997528070348248
"ENSG00000198786",25043.387651089,0.186248933570161,0.208903073802059,0.891556692682447,0.372630591563974,0.997528070348248
"ENSG00000198791",146.777628641773,0.0957499284200923,0.284367211941274,0.336712266391198,0.736333815564675,0.997528070348248
"ENSG00000198792",174.039780159105,0.125630880746515,0.272378336238879,0.461236684536966,0.644628805018275,0.997528070348248
"ENSG00000198799",138.021527487044,-0.159951470948201,0.295104628288225,-0.542016138059274,0.587807388580647,0.997528070348248
"ENSG00000198804",40689.2035486246,0.137837935638363,0.197904051723292,0.69648869964061,0.486122831733484,0.997528070348248
"ENSG00000198815",318.461433288414,-0.0663786777699283,0.243925762228219,-0.272126556717793,0.785524710488965,0.997528070348248
"ENSG00000198830",207.095769639384,-0.180732221903214,0.26035901980656,-0.694165395297206,0.487578491343352,0.997528070348248
"ENSG00000198837",192.044615889035,0.156031076418193,0.265331452065179,0.5880609901455,0.556491355958948,0.997528070348248
"ENSG00000198843",270.120140761403,-0.0647175161325778,0.246137073659544,-0.262932825073296,0.792602355442256,0.997528070348248
"ENSG00000198858",118.06770366773,-0.0942288722465671,0.300714063975514,-0.313350400047268,0.754014462980981,0.997528070348248
"ENSG00000198863",193.382493689541,-0.193499479961359,0.263529206355915,-0.734261991818941,0.462789077890271,0.997528070348248
"ENSG00000198898",261.357514085409,0.0898464467631499,0.251137154551047,0.35775848031633,0.720524064630112,0.997528070348248
"ENSG00000198900",281.106667798183,-0.0940355417245446,0.24647634130541,-0.381519545553562,0.702817770729235,0.997528070348248
"ENSG00000198909",189.585300327516,0.198973906653243,0.267983562216464,0.742485490556027,0.45779323956643,0.997528070348248
"ENSG00000198917",122.551857404449,0.088896064447029,0.312083826248065,0.284846752604118,0.775761551864031,0.997528070348248
"ENSG00000198918",163.671090549298,0.254570180616107,0.305160552029121,0.834217197876263,0.404158601653787,0.997528070348248
"ENSG00000198931",144.728081907987,-0.035277604734549,0.289249327934803,-0.121962616080825,0.902928625233996,0.997528070348248
"ENSG00000198951",145.667358127937,-0.0392336287251254,0.281530450893922,-0.139358384148322,0.889166956040772,0.997528070348248
"ENSG00000198954",118.05207335802,-0.219987918642933,0.3012880417814,-0.73015814813701,0.465293521371069,0.997528070348248
"ENSG00000203485",156.867978248382,-0.116700665484296,0.296552238036147,-0.393524817944792,0.693931897460751,0.997528070348248
"ENSG00000203709",264.025914479478,0.095754714436042,0.257987827029907,0.371159816098384,0.710518500912227,0.997528070348248
"ENSG00000203879",569.146633418733,0.00854882844519521,0.221798000707118,0.0385433070538983,0.969254503083776,0.997528070348248
"ENSG00000203880",264.040863852631,-0.14025578181265,0.25088555046328,-0.559042884509117,0.576132453000627,0.997528070348248
"ENSG00000204054",334.650137153393,0.152180649621999,0.241796338563321,0.62937532688133,0.529103366990456,0.997528070348248
"ENSG00000204120",335.467863194042,-0.210879621316045,0.238968723198094,-0.882456994764274,0.377529726071834,0.997528070348248
"ENSG00000204160",145.133723555346,-0.0902961573654711,0.294506998222761,-0.306601058414144,0.759147047922978,0.997528070348248
"ENSG00000204178",193.092816458389,-0.00767759836033735,0.263826317487475,-0.0291009571503489,0.976784072426877,0.997528070348248
"ENSG00000204209",142.21138588072,0.14838771352342,0.283670918564046,0.52309808236447,0.600905999927392,0.997528070348248
"ENSG00000204219",347.139290387494,-0.125532712630505,0.272066271481239,-0.461404906778976,0.644508131804141,0.997528070348248
"ENSG00000204227",187.447787363623,0.209860981950197,0.272673104472899,0.769643131308739,0.441511612532704,0.997528070348248
"ENSG00000204231",252.684273877796,0.10288884218675,0.250008640752726,0.411541144645929,0.680675777898875,0.997528070348248
"ENSG00000204256",1009.25640880584,-0.181095502815857,0.212880861506065,-0.8506894491814,0.394941885666209,0.997528070348248
"ENSG00000204264",162.619614492616,0.0714632655940623,0.357911581320865,0.19966737407694,0.84174073164426,0.997528070348248
"ENSG00000204304",224.172186648063,0.106271172138956,0.254984848275004,0.416774458788003,0.676843386033719,0.997528070348248
"ENSG00000204310",139.368769382821,-0.0812331616800918,0.30433859042814,-0.26691705960067,0.789533021365007,0.997528070348248
"ENSG00000204351",232.65851560035,0.145007662219849,0.260919520402965,0.555756280694901,0.578377476404606,0.997528070348248
"ENSG00000204356",138.030083914899,0.14961400220693,0.290308977584318,0.515361265958356,0.606300594161177,0.997528070348248
"ENSG00000204371",302.966416819208,-0.0459500581295125,0.243599844026696,-0.188629259239085,0.850383398909713,0.997528070348248
"ENSG00000204386",215.782754973591,-0.199873942253354,0.286845979181055,-0.696798828500208,0.485928699359691,0.997528070348248
"ENSG00000204387",209.126148488791,0.193568258002578,0.259089364397205,0.747110011454667,0.45499715748203,0.997528070348248
